subID,COMPCORR_1,COMPCORR_2,COMPCORR_strict_1,COMPCORR_strict_2,DEEPCOR_1,DEEPCOR_2,DEEPCOR_strict_1,DEEPCOR_strict_2,preproc_1,preproc_2,s8_COMPCORR_1,s8_COMPCORR_2,s8_DEEPCOR_1,s8_DEEPCOR_2,s8_preproc_1,s8_preproc_2
sub-NDARINVTKENUL3C,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVVR8GJJYB,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVXZRDA6CJ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVTDXHD95M,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVNNNX0496,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVHPU5TKNF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVVWH7ZJJR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVXZ44NE7H,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINV8RN0AJRP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVMMN463FT,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVRF70B79M,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVR6R9DHFF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVTPXZDTAT,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
sub-NDARINVG0K2DRXF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVTMVWP642,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVET4W53Z8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVKK5BJGB6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVURJ3XK7W,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVWNUXY3KF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVZ4YHXYLW,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVJPMRY00B,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVTHHL55VX,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True
sub-NDARINVPAJ26DUR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVJNDY0DWK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVN9D4XZKE,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVHRTU9HVX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVX6MC634B,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINV5YHWBYRD,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVPURW8L0G,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINV6WXU5DEY,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINV1H7JEJW1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINVE1XNAPC7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINV3385AZ13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sub-NDARINV29P0F670,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
